名次 姓名 语文 数学 英语 物理 化学 生物 政治 历史 地理 总分 平均分
0 平均 69.1 70.7 68.53 69.6 72.0 69.4 60.43 71.0 74.8 625.57 69.51
1 小沈 94 95 72 86 78 78 43 95 96 737 81.89
2 小郑 84 93 59 94 86 71 69 81 71 708 78.67
3 小朱 97 91 88 86 86 54 61 56 82 701 77.89
4 小施 88 74 38 48 78 87 96 88 90 687 76.33
5 小何 86 40 86 57 76 92 79 95 52 663 73.67
6 小张 不及格 87 44 88 95 78 91 42 94 662 73.56
7 小赵 73 85 80 82 93 41 64 87 55 660 73.33
8 小金 78 84 77 42 79 82 50 74 94 660 73.33
9 小华 不及格 85 85 72 62 87 94 73 34 645 71.67
10 小陈 98 90 64 71 90 65 40 33 89 640 71.11
11 小魏 75 57 38 85 58 60 97 99 69 638 70.89
12 小卫 70 67 33 96 94 69 62 72 72 635 70.56
13 小孙 95 64 87 79 34 70 45 72 87 633 70.33
14 小吴 不及格 83 80 94 90 86 44 33 64 629 69.89
15 小吕 不及格 33 81 48 95 80 51 81 99 619 68.78
16 小钱 不及格 91 81 92 72 50 50 65 83 617 68.56
17 小杨 86 93 87 46 75 44 45 60 81 617 68.56
18 小秦 不及格 51 64 78 89 91 37 94 61 612 68.0
19 小孔 不及格 86 88 83 80 90 31 78 37 610 67.78
20 小曹 63 53 55 94 45 55 73 91 78 607 67.44
21 小楮 90 47 70 34 88 73 69 74 60 605 67.22
22 小严 不及格 71 77 60 91 79 90 37 61 602 66.89
23 小许 不及格 72 99 31 38 92 62 92 65 601 66.78
24 小蒋 82 43 63 70 60 67 54 69 92 600 66.67
25 小李 87 34 81 58 73 41 46 74 97 591 65.67
26 小冯 不及格 74 83 69 57 78 73 59 58 587 65.22
27 小韩 83 70 36 74 50 56 38 93 78 578 64.22
28 小尤 74 67 63 53 34 89 56 66 76 578 64.22
29 小王 75 83 31 53 72 34 33 64 80 525 58.33
30 小周 不及格 58 66 65 42 43 70 33 89 520 57.78
